epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,906.699,0.74963,1.42736,0.58222,1.43496,0.99037,0.97996,0.98751,0.78672,0.99037,0.97996,0.98751,0.82697,0.75642,0.64145,0.41054,1.68718,0.000456811,0.000456811,0.000456811
41,929.133,0.69851,1.28507,0.5506,1.3896,0.98066,0.966,0.97652,0.79759,0.99033,0.97552,0.99039,0.83413,0.7505,0.5347,0.38908,1.61688,0.000454642,0.000454642,0.000454642
42,951.55,0.70842,1.29829,0.54926,1.41888,0.95297,0.96489,0.97611,0.75683,0.95297,0.96489,0.97611,0.78267,0.79895,0.67811,0.43355,1.6794,0.000452425,0.000452425,0.000452425
43,973.877,0.67284,1.18178,0.5149,1.38083,0.96633,0.98095,0.97612,0.77814,0.96633,0.98095,0.97612,0.82806,0.80195,0.57305,0.44298,1.74186,0.000450162,0.000450162,0.000450162
44,996.072,0.7036,1.24584,0.55814,1.39022,0.96246,0.97679,0.98368,0.78458,0.96246,0.97679,0.98368,0.83187,0.81151,0.53338,0.40651,1.73511,0.000447852,0.000447852,0.000447852
45,1018.58,0.66986,1.20935,0.52478,1.384,0.97024,0.97143,0.9844,0.7557,0.97024,0.97143,0.9844,0.79724,0.85434,0.5214,0.46517,1.80502,0.000445497,0.000445497,0.000445497
46,1040.96,0.67146,1.20515,0.52932,1.38938,0.96134,0.95238,0.95229,0.75318,0.97095,0.9619,0.96895,0.78216,0.78968,0.49169,0.43707,1.7305,0.000443096,0.000443096,0.000443096
47,1063.37,0.67949,1.29039,0.56737,1.38873,0.97895,0.99048,0.99336,0.75591,0.97895,0.99048,0.99336,0.81554,0.87505,0.53885,0.48433,1.80249,0.000440651,0.000440651,0.000440651
48,1085.93,0.65771,1.16753,0.50599,1.38724,0.94485,0.979,0.98087,0.79172,0.94485,0.979,0.98087,0.82235,0.75713,0.49045,0.41934,1.64755,0.000438162,0.000438162,0.000438162
49,1108.47,0.68551,1.20917,0.50578,1.40359,0.9574,0.95238,0.96241,0.77318,0.96698,0.9619,0.97487,0.82124,0.80442,0.50074,0.42722,1.73199,0.00043563,0.00043563,0.00043563
50,1131.18,0.69119,1.31429,0.53292,1.39071,0.97114,0.96134,0.97977,0.78817,0.97114,0.96134,0.97977,0.81915,0.72423,0.5219,0.38698,1.68348,0.000433055,0.000433055,0.000433055
51,1153.55,0.65953,1.27312,0.4974,1.35464,0.98635,0.97143,0.98928,0.78817,0.98635,0.97143,0.98928,0.82976,0.76082,0.5165,0.37753,1.68171,0.000430438,0.000430438,0.000430438
52,1176.05,0.66844,1.17874,0.51158,1.35425,0.96817,0.9619,0.98253,0.79723,0.97805,0.97143,0.99286,0.82868,0.72775,0.55207,0.41621,1.66733,0.000427779,0.000427779,0.000427779
53,1198.49,0.64371,1.14889,0.47711,1.34851,0.97119,0.96305,0.98087,0.76769,0.97119,0.96305,0.98087,0.79131,0.72928,0.79551,0.39341,1.67461,0.00042508,0.00042508,0.00042508
54,1221.06,0.61514,1.06969,0.48054,1.31053,0.97377,0.9619,0.98521,0.76897,0.97377,0.9619,0.98521,0.788,0.74003,0.49715,0.42785,1.64662,0.00042234,0.00042234,0.00042234
55,1243.4,0.61874,1.05616,0.48909,1.31296,0.92267,0.97143,0.97834,0.78723,0.92267,0.97143,0.97834,0.82187,0.72142,0.489,0.4098,1.59499,0.000419562,0.000419562,0.000419562
56,1265.77,0.62991,1.14763,0.47283,1.33812,0.94311,0.97143,0.97624,0.79048,0.94311,0.97143,0.97624,0.82242,0.79823,0.54591,0.4037,1.72594,0.000416744,0.000416744,0.000416744
57,1288.3,0.63126,1.17298,0.50034,1.34158,0.97773,0.98095,0.99165,0.78231,0.97773,0.98095,0.99165,0.83134,0.79799,0.50192,0.42575,1.74121,0.000413888,0.000413888,0.000413888
58,1310.85,0.69473,1.30386,0.55172,1.36098,0.98068,0.96671,0.99213,0.78713,0.98068,0.96671,0.99213,0.83329,0.7995,0.47533,0.39656,1.71963,0.000410995,0.000410995,0.000410995
59,1333.21,0.62984,1.17502,0.50185,1.32798,0.96258,0.9799,0.99173,0.80876,0.96258,0.9799,0.99173,0.83697,0.7458,0.49185,0.39458,1.68096,0.000408065,0.000408065,0.000408065
60,1355.76,0.60125,1.16821,0.47715,1.30938,0.98697,0.9619,0.99327,0.81007,0.9772,0.95238,0.98876,0.8426,0.73137,0.52986,0.37897,1.6524,0.0004051,0.0004051,0.0004051
61,1378.28,0.63534,1.11766,0.49317,1.3365,0.97038,0.98095,0.98935,0.78187,0.97038,0.98095,0.98935,0.81673,0.74109,0.49676,0.38378,1.65195,0.000402099,0.000402099,0.000402099
62,1400.89,0.62727,1.1192,0.48291,1.32801,0.97648,0.9619,0.99178,0.79871,0.97648,0.9619,0.99178,0.83182,0.75482,0.48043,0.38336,1.71945,0.000399064,0.000399064,0.000399064
63,1423.15,0.64139,1.14635,0.49954,1.33746,0.98029,0.99048,0.99316,0.80985,0.98029,0.99048,0.99316,0.84491,0.72998,0.5892,0.35236,1.67781,0.000395995,0.000395995,0.000395995
64,1445.56,0.61402,1.17562,0.45959,1.31742,0.97168,0.98032,0.98449,0.78976,0.97168,0.98032,0.98449,0.81675,0.70271,0.55223,0.34592,1.64741,0.000392893,0.000392893,0.000392893
65,1467.96,0.64562,1.2455,0.47642,1.36675,0.95251,0.97143,0.96284,0.74739,0.96184,0.98095,0.97491,0.79126,0.8039,0.51251,0.45082,1.76506,0.000389759,0.000389759,0.000389759
66,1490.18,0.61619,1.16633,0.47607,1.31961,0.97893,0.95238,0.98491,0.76172,0.97893,0.95238,0.98491,0.80595,0.77825,0.52769,0.38517,1.68748,0.000386593,0.000386593,0.000386593
67,1512.58,0.60559,1.15539,0.46692,1.30361,0.97196,0.99035,0.98259,0.80524,0.98131,0.99987,0.99176,0.83804,0.72603,0.64703,0.36219,1.65941,0.000383397,0.000383397,0.000383397
68,1535.18,0.61409,1.15437,0.47465,1.31948,0.96905,0.99048,0.98733,0.81438,0.96905,0.99048,0.98733,0.83218,0.73081,0.55831,0.38745,1.65878,0.000380171,0.000380171,0.000380171
69,1557.62,0.61553,1.1975,0.48176,1.31721,0.96088,0.97143,0.96893,0.79893,0.96088,0.97143,0.96893,0.8217,0.70696,0.50146,0.37561,1.61328,0.000376916,0.000376916,0.000376916
70,1579.95,0.60671,1.12424,0.46243,1.30413,0.97369,0.9619,0.98772,0.82534,0.97369,0.9619,0.98772,0.8505,0.68657,0.51116,0.34094,1.58294,0.000373633,0.000373633,0.000373633
71,1602.55,0.58407,1.11811,0.45052,1.29397,0.96098,0.97143,0.9878,0.80912,0.96098,0.97143,0.9878,0.83831,0.71591,0.49474,0.38075,1.60979,0.000370323,0.000370323,0.000370323
72,1625.05,0.59239,1.00668,0.4444,1.31988,0.95839,0.9619,0.96619,0.80324,0.95839,0.9619,0.96619,0.83809,0.72738,0.52751,0.38005,1.67501,0.000366986,0.000366986,0.000366986
73,1647.46,0.62926,1.25341,0.48306,1.32968,0.97046,0.9619,0.99161,0.77594,0.97046,0.9619,0.99161,0.82157,0.77626,0.57271,0.37876,1.72159,0.000363623,0.000363623,0.000363623
